,Linear Regression,Random Forest,Holt-Winters
2026-01-01,947.2958217224102,940.6182748803661,942.1742556173457
2026-01-02,951.5354557777416,949.6203789602088,945.4579088555746
2026-01-03,1011.6743673298032,1013.3269098380462,1005.0691459021291
2026-01-04,1016.9236162289537,1027.620163024397,1005.5925346262934
2026-01-05,956.2600317221637,959.6734344300404,946.2357162290747
2026-01-06,955.7578724130817,954.5955590193552,939.8495744408953
2026-01-07,956.0746612910244,938.3619010873641,945.7823180019263
2026-01-08,959.077106403011,940.1899370553866,941.6876543622817
2026-01-09,961.3299683973343,950.9984047381907,944.9713076005107
2026-01-10,1021.4350158637991,1021.0622705249591,1004.5825446470651
2026-01-11,1026.3323010216275,1036.70784473332,1005.1059333712294
2026-01-12,965.9230414153803,962.700689458663,945.7491149740108
2026-01-13,965.2590435840605,957.1299468663643,939.3629731858313
2026-01-14,965.6414151656373,950.575336222097,945.2957167468624
2026-01-15,967.4962346578114,953.2341718027815,941.2010531072178
2026-01-16,969.394894299633,959.131809007668,944.4847063454467
2026-01-17,1029.8367473850737,1024.5875853439986,1004.0959433920012
2026-01-18,1034.5269495479324,1033.2284605334364,1004.6193321161654
2026-01-19,973.5923328520347,969.5879284579122,945.2625137189468
2026-01-20,972.3946270996493,963.4129656662654,938.8763719307674
2026-01-21,973.3441755079035,962.6507648415974,944.8091154917985
2026-01-22,974.926430998592,963.0426929857064,940.7144518521538
2026-01-23,976.7124872157394,962.1509493371311,943.9981050903829
2026-01-24,1037.215614886444,1036.1285225776605,1003.6093421369372
2026-01-25,1041.930242055601,1036.5335572657216,1004.1327308611014
2026-01-26,981.6010816295424,984.3465735608657,944.775912463883
2026-01-27,980.7024286148563,973.5583199040565,938.3897706757034
2026-01-28,981.8338036564105,965.8801227036704,944.3225142367345
2026-01-29,983.845237667268,964.6552850750952,940.22785059709
2026-01-30,985.7830343555493,964.6182329496479,943.5115038353189